trackName,endTime,artistName,msPlayed,uri,duracion_ms,popularidad,danceability,loudness,energy,liveness
"Nicky Jam: Bzrp Music Sessions, Vol. 41",2022-12-03 01:19,Bizarrap,576762,03LfOYi0icz4souspZVVhq,158086,70,0.627,-3.167,0.849,0.145
No Dijeron Nada,2022-07-01 17:49,Oscu,61062,66YgptYp9124vxw9yFsIGn,186782,60,0.702,-5.257,0.705,0.509
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2022-06-04 19:59,BANDIDO,577359,7COGuXyTr12KvdaYXMqheC,280274,69,0.769,-2.088,0.812,0.0781
No Me Olvides,2022-11-07 21:42,La Beriso,679998,2Pq3bGuvCa1beNMrBxgcKT,212373,59,0.462,-7.219,0.612,0.131
No Puedo,2022-06-05 01:43,Paulo Londra,175028,6MbSMSXrSlvsyHf4kcaLQi,175028,72,0.792,-5.392,0.68,0.1
No Te Enamores,2023-01-21 21:02,Benjamín Amadeo,370036,2GvCKpSkYLJM4HFF3CmHVi,185018,38,0.593,-6.369,0.705,0.144
No Toque Mi Naik,2022-07-12 21:12,Nicki Nicole,2536210,0TBbNYzmtCfN5cpZSCVNIz,143925,55,0.763,-3.131,0.784,0.145
No Voy en Tren,2022-10-17 20:04,Charly García,362720,0rliTXrA8nLBuJcxDuueWU,181600,65,0.794,-7.132,0.908,0.0236
Nota,2022-09-06 16:02,Eladio Carrion,478446,2rm9Jixn9sLzTM6PF8u8AH,159482,72,0.7,-5.563,0.545,0.111
Numero 1,2022-06-02 23:01,Oscu,1202481,6HXvazdtAr9hy0kThzxrE3,164000,67,0.842,-4.404,0.729,0.0695
OKUPA,2022-06-07 17:47,WOS,2733695,25NPeIjHjQGvyp4D52Tji2,143000,71,0.763,-3.289,0.881,0.257
Olivia,2022-06-09 03:09,Ivan Noble,1737818,5dONhl6aXFuN86UBdayF6W,177973,73,0.64,-5.362,0.681,0.166
On My Way,2023-05-01 02:19,Noji,136941,7H9YC7hkicuj0ASDn3Aati,232036,41,0.686,-3.865,0.637,0.114
Our Song,2022-09-18 12:37,Anne-Marie,1477474,5zqObw7wjBgL9TDiAymxPn,163733,67,0.595,-4.245,0.759,0.172
PANAMÁ,2022-07-01 17:52,Trueno,342855,7fz7HrFRF4y8YEe0duWTDW,171149,62,0.723,-7.172,0.568,0.139
PANTANO,2022-06-11 19:38,WOS,1079629,0VMxiFeuVhG3Hu7NHnge9e,150661,58,0.607,-3.792,0.84,0.594
PELOTUDA,2022-08-27 03:39,Dillom,10535769,65zh1W9YBpgGlS4G98mI0v,185905,58,0.57,-6.179,0.61,0.262
PUAJ (sesión),2022-09-24 12:39,WOS,1086810,6fTxvdEyWl3zZg2XTWO4s8,156665,57,0.712,-2.93,0.916,0.499
PURPURA,2022-06-11 19:33,WOS,984855,0RHazYjaRGLIYPvn6mtRWY,194181,0,0.817,-2.941,0.803,0.0498
Para que el mundo lo vea - Acústico,2022-10-17 20:18,Arnau Griso,225825,6IukuUL2wwXBMQgbNsBnKK,220206,43,0.679,-7.843,0.439,0.0332
Paradise,2022-09-27 21:48,Coldplay,1901970,0Rx0DJI556Ix5gBny6EWmn,169038,75,0.844,-6.273,0.644,0.113
